time,country,size,is_holiday,days_to_next_holiday,days_since_last_holiday,business_days_in_month,lockdown
2016-04-02,PL,1,0,29,5,30,0.0
2016-04-02,RO,110,0,27,69,29,0.0
2016-04-02,SK,1,0,29,5,30,0.0
2016-04-02,UA,10,0,27,25,29,0.0
2016-04-03,BY,1,0,28,26,30,0.0
2016-04-03,HU,9,0,28,6,30,0.0
2016-04-03,MD,41,0,28,26,30,0.0
2016-04-03,PL,6,0,28,6,30,0.0
2016-04-03,RO,110,0,26,70,29,0.0
2016-04-03,SK,1,0,28,6,30,0.0
2016-04-03,UA,10,0,26,26,29,0.0
2016-04-04,BY,1,0,27,27,30,0.0
2016-04-04,HU,9,0,27,7,30,0.0
2016-04-04,MD,41,0,27,27,30,0.0
2016-04-04,PL,4,0,27,7,30,0.0
2016-04-04,RO,109,0,25,71,29,0.0
2016-04-04,SK,1,0,27,7,30,0.0
2016-04-04,UA,10,0,25,27,29,0.0
2016-04-05,BY,1,0,26,28,30,0.0
2016-04-05,HU,9,0,26,8,30,0.0
2016-04-05,MD,41,0,26,28,30,0.0
2016-04-05,PL,7,0,26,8,30,0.0
2016-04-05,RO,109,0,24,72,29,0.0
2016-04-05,SK,1,0,26,8,30,0.0
2016-04-05,UA,10,0,24,28,29,0.0
2016-04-06,BY,1,0,25,29,30,0.0
2016-04-06,HU,9,0,25,9,30,0.0
2016-04-06,MD,41,0,25,29,30,0.0
2016-04-06,PL,1,0,25,9,30,0.0
2016-04-06,RO,108,0,23,73,29,0.0
2016-04-06,SK,1,0,25,9,30,0.0
2016-04-06,UA,10,0,23,29,29,0.0
2016-04-07,BY,1,0,24,30,30,0.0
2016-04-07,HU,9,0,24,10,30,0.0
2016-04-07,MD,41,0,24,30,30,0.0
2016-04-07,PL,1,0,24,10,30,0.0
2016-04-07,RO,108,0,22,74,29,0.0
2016-04-07,SK,1,0,24,10,30,0.0
2016-04-07,UA,10,0,22,30,29,0.0
2016-04-08,BY,1,0,23,31,30,0.0
2016-04-08,HU,9,0,23,11,30,0.0
2016-04-08,MD,41,0,23,31,30,0.0
2016-04-08,PL,2,0,23,11,30,0.0
2016-04-08,RO,107,0,21,75,29,0.0
2016-04-08,SK,1,0,23,11,30,0.0
2016-04-08,UA,10,0,21,31,29,0.0
2016-04-09,BY,1,0,22,32,30,0.0
2016-04-09,HU,9,0,22,12,30,0.0
2016-04-09,MD,41,0,22,32,30,0.0
2016-04-09,PL,1,0,22,12,30,0.0
2016-04-09,RO,107,0,20,76,29,0.0
2016-04-09,SK,1,0,22,12,30,0.0
2016-04-09,UA,10,0,20,32,29,0.0
2016-04-10,BY,1,0,21,33,30,0.0
2016-04-10,HU,9,0,21,13,30,0.0
2016-04-10,MD,41,0,21,33,30,0.0
2016-04-10,PL,1,0,21,13,30,0.0
2016-04-10,RO,107,0,19,77,29,0.0
2016-04-10,SK,1,0,21,13,30,0.0
2016-04-10,UA,10,0,19,33,29,0.0
2016-04-11,BY,1,0,20,34,30,0.0
2016-04-11,HU,9,0,20,14,30,0.0
2016-04-11,MD,41,0,20,34,30,0.0
2016-04-11,PL,4,0,20,14,30,0.0
2016-04-11,RO,106,0,18,78,29,0.0
2016-04-11,SK,1,0,20,14,30,0.0
2016-04-11,UA,10,0,18,34,29,0.0
2016-04-12,BY,1,0,19,35,30,0.0
2016-04-12,HU,9,0,19,15,30,0.0
2016-04-12,MD,41,0,19,35,30,0.0
2016-04-12,PL,2,0,19,15,30,0.0
2016-04-12,RO,106,0,17,79,29,0.0
2016-04-12,SK,1,0,19,15,30,0.0
2016-04-12,UA,10,0,17,35,29,0.0
2016-04-13,BY,1,0,18,36,30,0.0
2016-04-13,HU,9,0,18,16,30,0.0
2016-04-13,MD,41,0,18,36,30,0.0
2016-04-13,PL,5,0,18,16,30,0.0
2016-04-13,RO,105,0,16,80,29,0.0
2016-04-13,SK,1,0,18,16,30,0.0
2016-04-13,UA,10,0,16,36,29,0.0
2016-04-14,BY,1,0,17,37,30,0.0
2016-04-14,HU,9,0,17,17,30,0.0
2016-04-14,MD,41,0,17,37,30,0.0
2016-04-14,PL,3,0,17,17,30,0.0
2016-04-14,RO,105,0,15,81,29,0.0
2016-04-14,SK,1,0,17,17,30,0.0
2016-04-14,UA,10,0,15,37,29,0.0
2016-04-15,BY,1,0,16,38,30,0.0
2016-04-15,HU,9,0,16,18,30,0.0
2016-04-15,MD,41,0,16,38,30,0.0
2016-04-15,PL,4,0,16,18,30,0.0
2016-04-15,RO,104,0,14,82,29,0.0
2016-04-15,SK,1,0,16,18,30,0.0
2016-04-15,UA,10,0,14,38,29,0.0
2016-04-16,BY,1,0,15,39,30,0.0
2016-04-16,HU,9,0,15,19,30,0.0
2016-04-16,MD,41,0,15,39,30,0.0
2016-04-16,PL,3,0,15,19,30,0.0
